game_id,game_date,home_away,opponent,opponent_abbr,result,team_score,opponent_score,fg_pct,fg3_pct,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,ortg,drtg,pace,ts_pct,efg_pct,tov_pct,oreb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_oreb_pct,opp_ft_rate
22400113,2024-11-24,Away,Cleveland Cavaliers,CLE,W,124,119,0.494,0.325,0.844,6,39,45,30,12,8,19,26,5,121.6,119.1,100.1,0.605,0.483,11.3,24.2,0.21,0.474,12.6,29.9,0.281
22400114,2024-11-26,Away,Phoenix Suns,PHX,W,106,88,0.459,0.301,0.786,13,28,41,24,7,4,18,16,18,106.2,95.0,99.4,0.57,0.495,15.9,24.7,0.268,0.521,11.3,19.0,0.275
22400115,2024-11-27,Away,Golden State Warriors,GSW,W,112,92,0.476,0.389,0.866,14,38,52,26,6,6,11,17,20,113.9,95.0,97.7,0.549,0.52,16.9,27.7,0.225,0.52,11.9,25.2,0.165
22400116,2024-11-30,Away,Cleveland Cavaliers,CLE,W,115,106,0.434,0.421,0.749,14,30,44,32,8,4,15,25,9,117.2,110.8,97.2,0.518,0.44,13.3,24.5,0.257,0.495,11.5,32.8,0.213
22400117,2024-12-01,Away,LA Clippers,LAC,W,100,78,0.485,0.43,0.792,10,33,43,26,9,2,11,23,22,101.1,95.0,102.6,0.573,0.522,13.0,28.3,0.238,0.534,13.2,25.4,0.252
22400118,2024-12-04,Away,Phoenix Suns,PHX,L,119,131,0.428,0.366,0.829,7,33,40,27,12,2,12,18,-12,118.8,125.0,99.9,0.506,0.468,13.9,25.6,0.251,0.557,12.0,28.5,0.265
22400119,2024-12-07,Home,Philadelphia 76ers,PHI,W,101,100,0.441,0.321,0.763,6,33,39,25,12,8,20,18,1,107.9,105.9,94.3,0.554,0.482,12.8,32.9,0.229,0.553,12.9,25.4,0.222
22400120,2024-12-08,Home,New Orleans Pelicans,NOP,W,102,99,0.512,0.279,0.759,8,35,43,28,10,6,17,21,3,108.5,105.8,96.1,0.569,0.544,14.5,21.8,0.21,0.533,11.8,20.9,0.239
22400121,2024-12-10,Home,Milwaukee Bucks,MIL,W,115,113,0.498,0.42,0.828,13,29,42,30,11,7,13,17,2,110.2,108.3,103.8,0.602,0.539,15.0,25.9,0.182,0.554,11.5,21.3,0.329
22400122,2024-12-11,Away,Charlotte Hornets,CHA,L,102,113,0.476,0.249,0.741,9,40,49,31,7,4,15,19,-11,103.4,108.8,99.6,0.555,0.516,15.3,27.3,0.194,0.53,14.1,21.0,0.148
22400123,2024-12-13,Away,Sacramento Kings,SAC,L,117,134,0.463,0.348,0.801,8,39,47,23,8,3,13,17,-17,113.0,125.0,103.7,0.55,0.524,13.3,26.2,0.226,0.554,13.3,22.6,0.254
22400124,2024-12-15,Away,Detroit Pistons,DET,W,119,104,0.49,0.269,0.868,6,36,42,23,9,5,12,18,15,119.5,107.6,99.3,0.564,0.548,16.0,24.7,0.301,0.496,16.4,27.5,0.253
22400125,2024-12-17,Away,New Orleans Pelicans,NOP,W,105,99,0.429,0.474,0.787,6,35,41,25,12,5,17,22,6,103.5,96.7,101.8,0.553,0.49,14.6,29.0,0.262,0.543,14.7,19.3,0.268
22400126,2024-12-20,Home,New Orleans Pelicans,NOP,W,106,94,0.433,0.376,0.756,7,37,44,23,5,6,13,22,12,106.3,96.7,98.7,0.532,0.491,13.1,27.0,0.278,0.504,14.8,30.0,0.166
22400127,2024-12-23,Home,Sacramento Kings,SAC,W,121,101,0.42,0.346,0.77,11,29,40,32,10,5,13,21,20,121.1,98.2,100.6,0.517,0.465,12.5,22.2,0.246,0.533,13.2,25.8,0.181
22400128,2024-12-26,Home,Golden State Warriors,GSW,L,98,114,0.489,0.248,0.806,13,31,44,25,4,8,15,23,-16,97.2,113.7,100.4,0.576,0.542,8.9,26.9,0.181,0.524,10.2,23.5,0.23
22400129,2024-12-28,Away,Oklahoma City Thunder,OKC,W,108,99,0.439,0.312,0.654,14,32,46,20,8,4,15,21,9,114.0,100.7,97.7,0.574,0.467,13.5,25.4,0.165,0.446,16.8,22.6,0.251
22400130,2024-12-30,Home,Sacramento Kings,SAC,L,98,111,0.45,0.326,0.781,9,34,43,24,11,2,18,24,-13,98.3,112.4,100.0,0.546,0.514,18.0,16.9,0.167,0.505,10.2,31.1,0.227
22400131,2025-01-02,Home,Toronto Raptors,TOR,L,124,135,0.483,0.335,0.829,13,34,47,31,5,4,16,22,-11,121.4,125.0,102.3,0.622,0.52,16.2,22.3,0.241,0.539,14.5,28.8,0.151
22400132,2025-01-04,Home,Utah Jazz,UTA,L,119,120,0.537,0.324,0.777,8,37,45,27,9,6,15,24,-1,116.3,117.9,102.3,0.64,0.564,13.2,32.0,0.304,0.522,14.3,22.7,0.33
22400133,2025-01-06,Away,Charlotte Hornets,CHA,L,102,107,0.455,0.385,0.753,6,34,40,27,8,4,17,16,-5,103.1,107.6,99.2,0.556,0.48,14.9,29.9,0.25,0.571,17.2,15.3,0.242
22400134,2025-01-07,Away,Philadelphia 76ers,PHI,L,111,116,0.499,0.335,0.816,12,38,50,31,5,5,12,16,-5,109.3,114.5,101.6,0.607,0.588,13.3,27.6,0.226,0.545,13.7,24.2,0.268
22400135,2025-01-09,Away,Sacramento Kings,SAC,L,98,103,0.484,0.402,0.826,13,38,51,21,9,5,17,25,-5,101.7,104.5,97.3,0.593,0.488,12.7,28.0,0.27,0.579,16.2,21.6,0.272
22400136,2025-01-11,Away,Portland Trail Blazers,POR,W,100,84,0.469,0.382,0.802,13,38,51,21,7,7,16,21,16,101.8,95.0,100.7,0.549,0.531,11.7,23.7,0.259,0.5,17.1,22.0,0.18
22400137,2025-01-13,Home,Chicago Bulls,CHI,W,125,106,0.506,0.302,0.795,8,32,40,20,11,7,18,22,19,122.2,103.3,101.7,0.64,0.54,14.3,22.4,0.235,0.527,15.0,21.7,0.259
22400138,2025-01-15,Away,Golden State Warriors,GSW,L,124,134,0.477,0.341,0.749,6,39,45,23,12,3,18,26,-10,111.8,122.6,108.2,0.565,0.528,13.3,30.5,0.206,0.544,15.3,23.2,0.14
22400139,2025-01-18,Away,Dallas Mavericks,DAL,L,123,130,0.441,0.286,0.778,12,39,51,22,10,7,16,23,-7,119.9,125.0,99.4,0.539,0.495,15.1,35.1,0.164,0.507,14.0,23.7,0.247
22400140,2025-01-21,Away,Charlotte Hornets,CHA,L,111,123,0.494,0.382,0.761,12,31,43,29,6,6,13,21,-12,117.3,125.0,96.5,0.595,0.52,10.9,20.4,0.195,0.512,13.8,21.0,0.272
22400141,2025-01-23,Away,Orlando Magic,ORL,W,103,85,0.485,0.324,0.819,14,39,53,23,4,2,10,23,18,109.6,95.0,95.7,0.601,0.537,12.3,26.2,0.239,0.541,13.2,22.0,0.236
22400142,2025-01-24,Home,Houston Rockets,HOU,L,117,126,0.455,0.362,0.78,6,37,43,20,11,6,20,22,-9,117.2,124.8,101.2,0.541,0.472,13.6,30.7,0.191,0.523,12.5,33.3,0.259
22400143,2025-01-25,Home,Orlando Magic,ORL,L,125,139,0.508,0.371,0.788,8,40,48,23,9,4,15,23,-14,128.1,125.0,96.5,0.62,0.523,13.5,17.1,0.233,0.507,13.5,27.5,0.198
22400144,2025-01-28,Home,Washington Wizards,WAS,L,108,116,0.43,0.247,0.844,12,36,48,28,7,8,12,22,-8,113.2,122.5,96.6,0.534,0.442,16.5,30.3,0.355,0.543,12.2,22.7,0.342
22400145,2025-01-30,Away,Charlotte Hornets,CHA,W,110,104,0.513,0.465,0.848,12,40,52,31,8,3,14,22,6,114.8,104.8,97.2,0.61,0.588,12.0,23.6,0.281,0.512,9.3,23.6,0.279
22400146,2025-02-02,Home,Chicago Bulls,CHI,L,125,135,0.477,0.386,0.886,8,33,41,21,6,2,17,18,-10,125.6,125.0,98.4,0.557,0.507,16.1,28.6,0.229,0.497,16.2,20.9,0.331
22400147,2025-02-05,Home,Golden State Warriors,GSW,L,113,121,0.44,0.376,0.865,13,36,49,29,10,6,18,25,-8,109.2,117.6,102.3,0.539,0.46,15.3,20.0,0.202,0.558,12.3,30.0,0.297
22400148,2025-02-08,Away,Portland Trail Blazers,POR,W,118,97,0.487,0.382,0.8,14,28,42,30,9,2,12,15,21,117.3,95.9,102.3,0.582,0.551,12.9,29.9,0.251,0.584,13.8,17.7,0.202
22400149,2025-02-11,Home,Toronto Raptors,TOR,L,109,111,0.469,0.409,0.722,7,31,38,32,4,6,18,16,-2,111.1,113.3,98.6,0.555,0.546,14.0,20.8,0.26,0.486,15.0,18.3,0.312
22400150,2025-02-13,Home,Washington Wizards,WAS,W,122,118,0.483,0.362,0.807,7,28,35,31,4,7,15,24,4,123.7,120.9,99.6,0.607,0.534,18.7,23.7,0.22,0.5,11.6,20.3,0.266
22400151,2025-02-15,Away,Boston Celtics,BOS,W,118,104,0.454,0.315,0.754,13,40,53,25,5,4,17,19,14,116.2,102.4,102.5,0.563,0.52,12.9,31.2,0.246,0.525,14.7,26.2,0.213
22400152,2025-02-18,Home,Houston Rockets,HOU,W,108,90,0.492,0.307,0.86,12,29,41,26,5,6,18,15,18,111.1,95.0,95.3,0.587,0.506,13.2,25.9,0.313,0.566,11.8,22.2,0.159
22400153,2025-02-21,Away,Cleveland Cavaliers,CLE,W,123,106,0.466,0.331,0.763,7,34,41,29,4,5,11,23,17,127.8,106.4,97.9,0.556,0.542,15.6,29.5,0.307,0.5,14.5,17.9,0.26
22400154,2025-02-24,Home,Minnesota Timberwolves,MIN,L,117,119,0.514,0.288,0.788,13,34,47,22,7,2,13,24,-2,113.3,116.9,100.5,0.598,0.552,12.8,31.9,0.305,0.527,13.9,18.4,0.26
22400155,2025-02-26,Home,Detroit Pistons,DET,L,123,128,0.482,0.408,0.786,11,38,49,29,5,2,12,19,-5,123.4,125.0,99.7,0.579,0.527,8.3,20.1,0.18,0.483,13.4,27.3,0.14
22400156,2025-03-01,Home,Houston Rockets,HOU,L,122,134,0.429,0.39,0.725,12,31,43,22,7,6,20,22,-12,116.6,125.0,105.3,0.534,0.44,19.3,31.1,0.261,0.563,15.0,22.6,0.246
22400157,2025-03-04,Away,Toronto Raptors,TOR,L,106,114,0.448,0.379,0.743,8,38,46,27,12,2,12,15,-8,103.4,111.8,99.7,0.534,0.515,11.1,24.3,0.283,0.52,14.3,27.2,0.243
